Class,Feature,Log Probability
FAKE,trump,-4.968572052354071
FAKE,video,-5.89162859275396
FAKE,clinton,-6.008773708145498
FAKE,obama,-6.044011092121915
FAKE,hillary,-6.059716392516336
FAKE,people,-6.1583799812499
FAKE,president,-6.1975689445569175
FAKE,just,-6.229349246585124
FAKE,said,-6.320411047471331
FAKE,like,-6.36242077933826
FAKE,donald,-6.438273771351016
FAKE,donald trump,-6.510678407577941
FAKE,twitter,-6.510685937424114
FAKE,news,-6.530002596308778
FAKE,white,-6.540228209701228
FAKE,america,-6.570517212672796
FAKE,watch,-6.605985878156267
FAKE,black,-6.642791088163523
FAKE,com,-6.6741290006363005
FAKE,time,-6.67909722736207
REAL,said,-5.151080523534115
REAL,trump,-5.4112105948048175
REAL,reuters,-5.926329669128667
REAL,president,-6.083680212349787
REAL,state,-6.197194546953788
REAL,house,-6.2051764085963015
REAL,government,-6.272134157269214
REAL,republican,-6.3625482510994935
REAL,united,-6.437881771117747
REAL,washington,-6.453020632836966
REAL,states,-6.453052779937622
REAL,north,-6.4699731792703
REAL,new,-6.480615448939895
REAL,china,-6.507622518278151
REAL,korea,-6.511532038913773
REAL,party,-6.536858545470263
REAL,russia,-6.542689132875973
REAL,minister,-6.543820369949711
REAL,senate,-6.546072953764981
REAL,court,-6.5642648919430275
